idindikator;IDTer;nTer;IDTipNaselja;nTipNaselja;mes;god;IDVrPod;nVrPod;IDCOICOP;nCOICOP;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;0100;Food and non-alcoholic beverages;41.6;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;0200;Alcoholic beverages, tobacco and narcotics;1590;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;0200;Alcoholic beverages, tobacco and narcotics;4.8;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;0300;Clothing and footwear;1821;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;0300;Clothing and footwear;5.6;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;0400;Housing, water, electricity, gas and other fuels;5147;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;0400;Housing, water, electricity, gas and other fuels;15.7;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;0500;Furnishings, household equipment and routine household maintenance;1615;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;0500;Furnishings, household equipment and routine household maintenance;4.9;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;0600;Health;1280;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;0600;Health;3.9;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;0700;Transport;3894;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;0700;Transport;11.9;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;0800;Communication;921;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;0800;Communication;2.8;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;0900;Recreation and culture;1088;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;0900;Recreation and culture;3.3;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;1000;Education;231;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;1000;Education;0.7;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;1100;Restaurants and hotels;408;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;1100;Restaurants and hotels;1.2;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;1200;Miscellaneous goods and services;1169;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;1200;Miscellaneous goods and services;3.6;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;0000;Total;38039;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;0000;Total;100;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;0100;Food and non-alcoholic beverages;13908;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;0100;Food and non-alcoholic beverages;36.6;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;0200;Alcoholic beverages, tobacco and narcotics;1593;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;0200;Alcoholic beverages, tobacco and narcotics;4.2;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;0300;Clothing and footwear;2697;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;0300;Clothing and footwear;7.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;0400;Housing, water, electricity, gas and other fuels;5380;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;0400;Housing, water, electricity, gas and other fuels;14.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;0500;Furnishings, household equipment and routine household maintenance;1705;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;0500;Furnishings, household equipment and routine household maintenance;4.5;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;0600;Health;1801;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;0600;Health;4.7;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;0700;Transport;4472;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;0700;Transport;11.8;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;0800;Communication;1287;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;0800;Communication;3.4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;0900;Recreation and culture;2414;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;0900;Recreation and culture;6.3;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;1000;Education;566;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;1000;Education;1.5;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;1100;Restaurants and hotels;437;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;1100;Restaurants and hotels;1.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;1;RSD;1200;Miscellaneous goods and services;1779;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;0;Total;00;2006;2;structure, %;1200;Miscellaneous goods and services;4.7;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;0000;Total;37295;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;0000;Total;100;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;0100;Food and non-alcoholic beverages;13444;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;0100;Food and non-alcoholic beverages;35.9;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;0200;Alcoholic beverages, tobacco and narcotics;1476;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;0200;Alcoholic beverages, tobacco and narcotics;4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;0300;Clothing and footwear;2779;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;0300;Clothing and footwear;7.5;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;0400;Housing, water, electricity, gas and other fuels;5362;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;0400;Housing, water, electricity, gas and other fuels;14.4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;0500;Furnishings, household equipment and routine household maintenance;1649;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;0500;Furnishings, household equipment and routine household maintenance;4.4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;0600;Health;1830;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;0600;Health;4.9;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;0700;Transport;4137;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;0700;Transport;11.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;0800;Communication;1282;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;0800;Communication;3.4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;0900;Recreation and culture;2542;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;0900;Recreation and culture;6.8;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;1000;Education;579;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;1000;Education;1.6;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;1100;Restaurants and hotels;434;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;1100;Restaurants and hotels;1.2;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;1;RSD;1200;Miscellaneous goods and services;1781;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;G;Urban settlements;00;2006;2;structure, %;1200;Miscellaneous goods and services;4.8;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;0000;Total;41778;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;0000;Total;100;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;0100;Food and non-alcoholic beverages;16241;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;0100;Food and non-alcoholic beverages;39;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;0200;Alcoholic beverages, tobacco and narcotics;2184;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;0200;Alcoholic beverages, tobacco and narcotics;5.2;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;0300;Clothing and footwear;2285;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;0300;Clothing and footwear;5.5;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;0400;Housing, water, electricity, gas and other fuels;5472;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;0400;Housing, water, electricity, gas and other fuels;13.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;0500;Furnishings, household equipment and routine household maintenance;1979;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;0500;Furnishings, household equipment and routine household maintenance;4.7;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;0600;Health;1664;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;0600;Health;4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;0700;Transport;6162;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;0700;Transport;14.7;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;0800;Communication;1311;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;0800;Communication;3.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;0900;Recreation and culture;1771;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;0900;Recreation and culture;4.2;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;1000;Education;495;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;1000;Education;1.2;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;1100;Restaurants and hotels;451;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;1100;Restaurants and hotels;1.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;1;RSD;1200;Miscellaneous goods and services;1763;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS11;Beogradski region;O;Other;00;2006;2;structure, %;1200;Miscellaneous goods and services;4.2;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS12;Region Vojvodine;0;Total;00;2006;1;RSD;0000;Total;33175;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS12;Region Vojvodine;0;Total;00;2006;2;structure, %;0000;Total;100;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS12;Region Vojvodine;0;Total;00;2006;1;RSD;0100;Food and non-alcoholic beverages;12279;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS12;Region Vojvodine;0;Total;00;2006;2;structure, %;0100;Food and non-alcoholic beverages;37.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS12;Region Vojvodine;0;Total;00;2006;1;RSD;0200;Alcoholic beverages, tobacco and narcotics;1350;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS12;Region Vojvodine;0;Total;00;2006;2;structure, %;0200;Alcoholic beverages, tobacco and narcotics;4.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS12;Region Vojvodine;0;Total;00;2006;1;RSD;0300;Clothing and footwear;1749;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS12;Region Vojvodine;0;Total;00;2006;2;structure, %;0300;Clothing and footwear;5.3;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS12;Region Vojvodine;0;Total;00;2006;1;RSD;0400;Housing, water, electricity, gas and other fuels;6123;;;SORS;Personal household consumption, monthly average;A;Normal value
